imagen,real,pred_ocr,pred_modelo_v2,pred_modelo_v3
GOS-710.jpg,GOS-710,G0S-71Q,555,09
OSG-108.jpg,OSG-108,OSG-108,55MM5,0
ZPU-843.jpg,ZPU-843,ZPU-843,BB,588
MXR-540.jpg,MXR-540,MXR-54E,M53,
MLY-150.jpg,MLY-150,MLY-150,M3,09
DCX-297.jpg,DCX-297,DCX-297,55,00
AHZ-328.jpg,AHZ-328,AHZ-328,M3B,
ADL-638.jpg,ADL-638,ADL-638,5B,88
ZQR-219.jpg,ZQR-219,ZQR219,BR5,8
FOV-484.jpg,FOV-484,FOV-484,5B,888
UNO-496.jpg,UNO-496,UNO-49,M,000
ZSV-905.jpg,ZSV-905,ZSV-905,55,0
QLC-040.jpg,QLC-040,QLC-040,55,890
WBR-295.jpg,WBR-295,WBR-295,BB35,00
TCJ-709.jpg,TCJ-709,TCJ-709,555,
OZF-825.jpg,OZF-825,OZF825,BB,
WUE-953.jpg,WUE-953,WUE-953,55,003
WAO-143.jpg,WAO-143,WAO-143,M,008
CGH-821.jpg,CGH-821,CGH-821,55BB,
YHM-072.jpg,YHM-072,YHM-074,M,
VJS-044.jpg,VJS-044,VJS-044,55,D
IBQ-762.jpg,IBQ-762,IBQ-762,B5,00
EGZ-139.jpg,EGZ-139,EGZ-139,555,
YRB-745.jpg,YRB-745,YRB-745,BB,8
KCS-331.jpg,KCS-331,KCS-331,535,0
XHH-964.jpg,XHH-964,XHH-964,MM5,
KKZ-338.jpg,KKZ-338,KKZ-338,MMM3,
CWD-991.jpg,CWD-991,CWD-991,W5,
MBY-611.jpg,MBY-611,MBY-611,B555,0
NWN-858.jpg,NWN-858,NWN-85,MMB,00008
LPT-671.jpg,LPT-671,LPT671,5,
YTY-000.jpg,YTY-000,YTY000,,
KKC-067.jpg,KKC-067,KKC-06,55,
BCP-451.jpg,BCP-451,BCP451,55,
ROS-616.jpg,ROS-616,ROS-616,5553,0
LXE-895.jpg,LXE-895,LXE-895,MB5,
XNS-758.jpg,XNS-758,XNS-758,5,88
XZM-977.jpg,XZM-977,XZM-97,M,
KSC-635.jpg,KSC-635,KSC-635,5553,
DBY-513.jpg,DBY-513,DBY-513,B53,095
KNY-536.jpg,KNY-536,KNY536,555,
KZV-610.jpg,KZV-610,KZV-610,M53,0
BEA-537.jpg,BEA-537,BEA-537,5,
GOZ-634.jpg,GOZ-634,G0Z-634,55555,
AWR-188.jpg,AWR-188,AWR-188,MB,888
UGL-526.jpg,UGL-526,UGL-526,55,000
ZDL-986.jpg,ZDL-986,ZDL-986,B,0
LOJ-150.jpg,LOJ-150,LOJ150,555,99
NNJ-972.jpg,NNJ-972,NNJ-972,MM,000
OXF-608.jpg,OXF-608,OXF608,MB,
FNO-059.jpg,FNO-059,FNO-059,M935,
TFV-249.jpg,TFV-249,TFV249,M3,9
XJD-005.jpg,XJD-005,XJD-005,5,8
EMF-409.jpg,EMF-409,EMF5409,M5,9
OMC-979.jpg,OMC-979,OMC-979,M55,0
IYT-365.jpg,IYT-365,IYT-365,355,
DVN-076.jpg,DVN-076,DVN-076,NN5,
LSN-856.jpg,LSN-856,LSN-856,5BB,
ROF-300.jpg,ROF-300,ROF-300,35,0
WUT-308.jpg,WUT-308,WUT-308,W,08
GZO-387.jpg,GZO-387,GZO-387,55B,08
FFV-003.jpg,FFV-003,FFV-003,M5,5
SVY-740.jpg,SVY-740,SVY740,M55,9
PPU-441.jpg,PPU-441,PPU-44,,
QMN-838.jpg,QMN-838,QMN-83,MMB,00888
GHC-587.jpg,GHC-587,GHC-587,555B,08
PHX-327.jpg,PHX-327,PHX-32,M5,
STA-835.jpg,STA-835,STA-835,55BB5,
FWG-417.jpg,FWG-417,FWG-41,M5M,00
ERK-819.jpg,ERK-819,ERK-819,KBB,9
KNK-720.jpg,KNK-720,KNK-72D,M,0
RZG-725.jpg,RZG-725,RZG-725,R5555,6
ESF-442.jpg,ESF-442,ESF442,5,
FFE-648.jpg,FFE-648,FFE-648,M3B,88
GQN-927.jpg,GQN-927,GQN-92,5M3,000
CFX-219.jpg,CFX-219,CFX-219,5X5,99
PJP-658.jpg,PJP-658,PJP658,B5B,8
THE-230.jpg,THE-230,THE230,M35,9
GPF-863.jpg,GPF-863,GPF863,BBB,000
GLE-084.jpg,GLE-084,GLET084,5B,0888
ELU-724.jpg,ELU-724,ELU-724,M,3
FGK-999.jpg,FGK-999,FGK-999,595,
HIA-875.jpg,HIA-875,HIA-875,BBB5,
NOS-082.jpg,NOS-082,NOS-082,M33B,0088
XMH-382.jpg,XMH-382,XMH-382,MMB,888
RVW-760.jpg,RVW-760,RVW-76Q,M,
EFC-320.jpg,EFC-320,EFC-320,E553,59
WOV-315.jpg,WOV-315,WOV315,M3,0000
TSX-133.jpg,TSX-133,TSX-133,5X5,
PAC-262.jpg,PAC-262,PAC-262,35,
GGW-729.jpg,GGW-729,GGW-729,5MMM,00
LBH-169.jpg,LBH-169,LBH-169,B53,
VIR-135.jpg,VIR-135,VIR-135,MM5,D
HRM-105.jpg,HRM-105,HRM-105,M5,9
SII-390.jpg,SII-390,SM-390,555,
ELL-185.jpg,ELL-185,ELL185,MB,8
NUM-112.jpg,NUM-112,NUM-112,M,
CKB-551.jpg,CKB-551,CKB-551,MB5,00
IEE-186.jpg,IEE-186,IEE186,EEB,8
GRC-230.jpg,GRC-230,GRC-23Q,33,0
MWW-440.jpg,MWW-440,MWW-44,WW,888
RTT-273.jpg,RTT-273,RTT273,5,
NEH-091.jpg,NEH-091,NEH-091,MMM5,0
UKL-782.jpg,UKL-782,UKL-782,B,888
HQV-237.jpg,HQV-237,HQV237,M5,00
BGY-718.jpg,BGY-718,BGY-718,5,8
IDC-540.jpg,IDC-540,IDC-540,333,00
NXB-239.jpg,NXB-239,NXB-239,5,
EXI-392.jpg,EXI-392,EXI-392,35,350
UUT-837.jpg,UUT-837,UUT-837,B5,
YAT-756.jpg,YAT-756,YAT-756,MM5,0
TYI-354.jpg,TYI-354,TYI-354,M335,5
PXE-871.jpg,PXE-871,PXE-871,BB,
NPV-939.jpg,NPV-939,NPV939,5,9
FIT-186.jpg,FIT-186,FIT186,MB5,
ERC-000.jpg,ERC-000,ERC000,R33999,9
FDC-521.jpg,FDC-521,FDC-521,555,0
IKT-458.jpg,IKT-458,IKT-458,MMB,888
NGX-404.jpg,NGX-404,NGX-404,55,00
EQA-366.jpg,EQA-366,EQA-366,,80
OCZ-627.jpg,OCZ-627,OCZ-62,33,000
UNT-336.jpg,UNT-336,UNT-336,MM3,000
XUF-730.jpg,XUF-730,XUF730,5,9
DAZ-327.jpg,DAZ-327,DAZ327,,
VKP-485.jpg,VKP-485,VKP-485,MB,088
ADZ-405.jpg,ADZ-405,ADZ405,5,8
HBJ-245.jpg,HBJ-245,HBJ-2451,BB3,8
XFJ-841.jpg,XFJ-841,XFJ-841,BB,
QYI-279.jpg,QYI-279,QYI-279,5,0
VGW-442.jpg,VGW-442,VGW442,W,8
LAR-362.jpg,LAR-362,LAR-362,335,
VER-718.jpg,VER-718,VER-718,RB,8
UHH-837.jpg,UHH-837,UHH-837,BB,
MTA-432.jpg,MTA-432,MTA-432,MM3,
XHH-288.jpg,XHH-288,XHH-288,MMB,88
RVS-010.jpg,RVS-010,RVS-010,M3,00
QOH-090.jpg,QOH-090,QOH09,,
KMO-851.jpg,KMO-851,KMO-851,MB5,
LGV-542.jpg,LGV-542,LGV-542,5,5
EQP-129.jpg,EQP-129,EQP129,3,0
PPY-980.jpg,PPY-980,PPY980,BB,809
WZB-901.jpg,WZB-901,WZB-901,MB9,00
LHO-820.jpg,LHO-820,LHO-820,B,9
WVQ-214.jpg,WVQ-214,WVQ-214,MM,00
FPF-198.jpg,FPF-198,FPF198,B5B,58
ZBK-904.jpg,ZBK-904,ZBK-904,BK9,
DUI-958.jpg,DUI-958,DUI-958,5B,98
GVP-518.jpg,GVP-518,GVP518,5M3B,08
EMD-127.jpg,EMD-127,EMD-127,M,
SVS-442.jpg,SVS-442,SVS-442,55,
LEC-124.jpg,LEC-124,LEC-124,33,8B
RKZ-459.jpg,RKZ-459,RKZT459,5,99
IFQ-122.jpg,IFQ-122,IFQ-122,M,0
TEQ-401.jpg,TEQ-401,TEQ-401,5,0
YPD-949.jpg,YPD-949,YPD-949,,
ZHS-310.jpg,ZHS-310,ZHS-31,M,0
PGS-053.jpg,PGS-053,PGS-053,55,
VCM-005.jpg,VCM-005,VCM-005,MMM5,000
FPJ-211.jpg,FPJ-211,FPJ-211,5,5
VLS-820.jpg,VLS-820,VLS-820,MBBB35,00
VYS-402.jpg,VYS-402,VYS-402,33,
OVA-737.jpg,OVA-737,OVA-737,MMM5,
IVI-982.jpg,IVI-982,IVI-982,MBB,5
OLU-273.jpg,OLU-273,OLU-273,5,9S
AOM-982.jpg,AOM-982,AOM-982,MB,808
THH-179.jpg,THH-179,THH-179,MM,9
VMO-163.jpg,VMO-163,VMO-163,5,0
ZVS-650.jpg,ZVS-650,ZVS-650,555,99
TCF-275.jpg,TCF-275,TCF275,5335,
HFL-145.jpg,HFL-145,HFL-145,MMM3,5
TNW-291.jpg,TNW-291,TNW-291,MW5,0
GUS-047.jpg,GUS-047,GUS-04,555,08
ZEE-077.jpg,ZEE-077,ZEE077,EE,5
PPK-341.jpg,PPK-341,PPK-341,BKK5,
