imagen,real,prediccion,correcta,caracteres_correctos
GOS-710.jpg,GOS-710,555,False,0
OSG-108.jpg,OSG-108,55MM5,False,0
ZPU-843.jpg,ZPU-843,BB,False,0
MXR-540.jpg,MXR-540,M53,False,1
MLY-150.jpg,MLY-150,M3,False,1
DCX-297.jpg,DCX-297,55,False,0
AHZ-328.jpg,AHZ-328,M3B,False,0
ADL-638.jpg,ADL-638,5B,False,0
ZQR-219.jpg,ZQR-219,BR5,False,0
FOV-484.jpg,FOV-484,5B,False,0
UNO-496.jpg,UNO-496,M,False,0
ZSV-905.jpg,ZSV-905,55,False,0
QLC-040.jpg,QLC-040,55,False,0
WBR-295.jpg,WBR-295,BB35,False,1
TCJ-709.jpg,TCJ-709,555,False,0
OZF-825.jpg,OZF-825,BB,False,0
WUE-953.jpg,WUE-953,55,False,0
WAO-143.jpg,WAO-143,M,False,0
CGH-821.jpg,CGH-821,55BB,False,0
YHM-072.jpg,YHM-072,M,False,0
VJS-044.jpg,VJS-044,55,False,0
IBQ-762.jpg,IBQ-762,B5,False,0
EGZ-139.jpg,EGZ-139,555,False,0
YRB-745.jpg,YRB-745,BB,False,0
KCS-331.jpg,KCS-331,535,False,0
XHH-964.jpg,XHH-964,MM5,False,0
KKZ-338.jpg,KKZ-338,MMM3,False,0
CWD-991.jpg,CWD-991,W5,False,0
MBY-611.jpg,MBY-611,B555,False,0
NWN-858.jpg,NWN-858,MMB,False,0
LPT-671.jpg,LPT-671,5,False,0
YTY-000.jpg,YTY-000,,False,0
KKC-067.jpg,KKC-067,55,False,0
BCP-451.jpg,BCP-451,55,False,0
ROS-616.jpg,ROS-616,5553,False,0
LXE-895.jpg,LXE-895,MB5,False,0
XNS-758.jpg,XNS-758,5,False,0
XZM-977.jpg,XZM-977,M,False,0
KSC-635.jpg,KSC-635,5553,False,0
DBY-513.jpg,DBY-513,B53,False,0
KNY-536.jpg,KNY-536,555,False,0
KZV-610.jpg,KZV-610,M53,False,0
BEA-537.jpg,BEA-537,5,False,0
GOZ-634.jpg,GOZ-634,55555,False,0
AWR-188.jpg,AWR-188,MB,False,0
UGL-526.jpg,UGL-526,55,False,0
ZDL-986.jpg,ZDL-986,B,False,0
LOJ-150.jpg,LOJ-150,555,False,0
NNJ-972.jpg,NNJ-972,MM,False,0
OXF-608.jpg,OXF-608,MB,False,0
FNO-059.jpg,FNO-059,M935,False,0
TFV-249.jpg,TFV-249,M3,False,0
XJD-005.jpg,XJD-005,5,False,0
EMF-409.jpg,EMF-409,M5,False,0
OMC-979.jpg,OMC-979,M55,False,0
IYT-365.jpg,IYT-365,355,False,0
