imagen,real,prediccion,correcta,caracteres_correctos
GOS-710.jpg,GOS-710,G0S-71Q,False,5
OSG-108.jpg,OSG-108,OSG-108,True,7
ZPU-843.jpg,ZPU-843,ZPU-843,True,7
MXR-540.jpg,MXR-540,MXR-54E,False,6
MLY-150.jpg,MLY-150,MLY-150,True,7
DCX-297.jpg,DCX-297,DCX-297,True,7
AHZ-328.jpg,AHZ-328,AHZ-328,True,7
ADL-638.jpg,ADL-638,ADL-638,True,7
ZQR-219.jpg,ZQR-219,ZQR219,False,3
FOV-484.jpg,FOV-484,FOV-484,True,7
UNO-496.jpg,UNO-496,UNO-49,False,6
ZSV-905.jpg,ZSV-905,ZSV-905,True,7
QLC-040.jpg,QLC-040,QLC-040,True,7
WBR-295.jpg,WBR-295,WBR-295,True,7
TCJ-709.jpg,TCJ-709,TCJ-709,True,7
OZF-825.jpg,OZF-825,OZF825,False,3
WUE-953.jpg,WUE-953,WUE-953,True,7
WAO-143.jpg,WAO-143,WAO-143,True,7
CGH-821.jpg,CGH-821,CGH-821,True,7
YHM-072.jpg,YHM-072,YHM-074,False,6
VJS-044.jpg,VJS-044,VJS-044,True,7
IBQ-762.jpg,IBQ-762,IBQ-762,True,7
EGZ-139.jpg,EGZ-139,EGZ-139,True,7
YRB-745.jpg,YRB-745,YRB-745,True,7
KCS-331.jpg,KCS-331,KCS-331,True,7
XHH-964.jpg,XHH-964,XHH-964,True,7
KKZ-338.jpg,KKZ-338,KKZ-338,True,7
CWD-991.jpg,CWD-991,CWD-991,True,7
MBY-611.jpg,MBY-611,MBY-611,True,7
NWN-858.jpg,NWN-858,NWN-85,False,6
LPT-671.jpg,LPT-671,LPT671,False,3
YTY-000.jpg,YTY-000,YTY000,False,5
KKC-067.jpg,KKC-067,KKC-06,False,6
BCP-451.jpg,BCP-451,BCP451,False,3
ROS-616.jpg,ROS-616,ROS-616,True,7
LXE-895.jpg,LXE-895,LXE-895,True,7
XNS-758.jpg,XNS-758,XNS-758,True,7
XZM-977.jpg,XZM-977,XZM-97,False,6
KSC-635.jpg,KSC-635,KSC-635,True,7
DBY-513.jpg,DBY-513,DBY-513,True,7
KNY-536.jpg,KNY-536,KNY536,False,3
KZV-610.jpg,KZV-610,KZV-610,True,7
BEA-537.jpg,BEA-537,BEA-537,True,7
GOZ-634.jpg,GOZ-634,G0Z-634,False,6
AWR-188.jpg,AWR-188,AWR-188,True,7
UGL-526.jpg,UGL-526,UGL-526,True,7
ZDL-986.jpg,ZDL-986,ZDL-986,True,7
LOJ-150.jpg,LOJ-150,LOJ150,False,3
NNJ-972.jpg,NNJ-972,NNJ-972,True,7
OXF-608.jpg,OXF-608,OXF608,False,3
FNO-059.jpg,FNO-059,FNO-059,True,7
TFV-249.jpg,TFV-249,TFV249,False,3
XJD-005.jpg,XJD-005,XJD-005,True,7
EMF-409.jpg,EMF-409,EMF5409,False,6
OMC-979.jpg,OMC-979,OMC-979,True,7
IYT-365.jpg,IYT-365,IYT-365,True,7
DVN-076.jpg,DVN-076,DVN-076,True,7
LSN-856.jpg,LSN-856,LSN-856,True,7
ROF-300.jpg,ROF-300,ROF-300,True,7
WUT-308.jpg,WUT-308,WUT-308,True,7
GZO-387.jpg,GZO-387,GZO-387,True,7
FFV-003.jpg,FFV-003,FFV-003,True,7
SVY-740.jpg,SVY-740,SVY740,False,3
PPU-441.jpg,PPU-441,PPU-44,False,6
QMN-838.jpg,QMN-838,QMN-83,False,6
GHC-587.jpg,GHC-587,GHC-587,True,7
PHX-327.jpg,PHX-327,PHX-32,False,6
STA-835.jpg,STA-835,STA-835,True,7
FWG-417.jpg,FWG-417,FWG-41,False,6
ERK-819.jpg,ERK-819,ERK-819,True,7
KNK-720.jpg,KNK-720,KNK-72D,False,6
RZG-725.jpg,RZG-725,RZG-725,True,7
ESF-442.jpg,ESF-442,ESF442,False,4
FFE-648.jpg,FFE-648,FFE-648,True,7
GQN-927.jpg,GQN-927,GQN-92,False,6
CFX-219.jpg,CFX-219,CFX-219,True,7
PJP-658.jpg,PJP-658,PJP658,False,3
THE-230.jpg,THE-230,THE230,False,3
GPF-863.jpg,GPF-863,GPF863,False,3
GLE-084.jpg,GLE-084,GLET084,False,6
ELU-724.jpg,ELU-724,ELU-724,True,7
FGK-999.jpg,FGK-999,FGK-999,True,7
HIA-875.jpg,HIA-875,HIA-875,True,7
NOS-082.jpg,NOS-082,NOS-082,True,7
XMH-382.jpg,XMH-382,XMH-382,True,7
RVW-760.jpg,RVW-760,RVW-76Q,False,6
EFC-320.jpg,EFC-320,EFC-320,True,7
WOV-315.jpg,WOV-315,WOV315,False,3
TSX-133.jpg,TSX-133,TSX-133,True,7
PAC-262.jpg,PAC-262,PAC-262,True,7
GGW-729.jpg,GGW-729,GGW-729,True,7
LBH-169.jpg,LBH-169,LBH-169,True,7
VIR-135.jpg,VIR-135,VIR-135,True,7
HRM-105.jpg,HRM-105,HRM-105,True,7
SII-390.jpg,SII-390,SM-390,False,1
ELL-185.jpg,ELL-185,ELL185,False,3
NUM-112.jpg,NUM-112,NUM-112,True,7
CKB-551.jpg,CKB-551,CKB-551,True,7
IEE-186.jpg,IEE-186,IEE186,False,3
GRC-230.jpg,GRC-230,GRC-23Q,False,6
MWW-440.jpg,MWW-440,MWW-44,False,6
RTT-273.jpg,RTT-273,RTT273,False,3
NEH-091.jpg,NEH-091,NEH-091,True,7
UKL-782.jpg,UKL-782,UKL-782,True,7
HQV-237.jpg,HQV-237,HQV237,False,3
BGY-718.jpg,BGY-718,BGY-718,True,7
IDC-540.jpg,IDC-540,IDC-540,True,7
NXB-239.jpg,NXB-239,NXB-239,True,7
EXI-392.jpg,EXI-392,EXI-392,True,7
UUT-837.jpg,UUT-837,UUT-837,True,7
YAT-756.jpg,YAT-756,YAT-756,True,7
TYI-354.jpg,TYI-354,TYI-354,True,7
PXE-871.jpg,PXE-871,PXE-871,True,7
NPV-939.jpg,NPV-939,NPV939,False,3
FIT-186.jpg,FIT-186,FIT186,False,3
ERC-000.jpg,ERC-000,ERC000,False,5
FDC-521.jpg,FDC-521,FDC-521,True,7
IKT-458.jpg,IKT-458,IKT-458,True,7
NGX-404.jpg,NGX-404,NGX-404,True,7
EQA-366.jpg,EQA-366,EQA-366,True,7
OCZ-627.jpg,OCZ-627,OCZ-62,False,6
UNT-336.jpg,UNT-336,UNT-336,True,7
XUF-730.jpg,XUF-730,XUF730,False,3
DAZ-327.jpg,DAZ-327,DAZ327,False,3
VKP-485.jpg,VKP-485,VKP-485,True,7
ADZ-405.jpg,ADZ-405,ADZ405,False,3
HBJ-245.jpg,HBJ-245,HBJ-2451,False,7
XFJ-841.jpg,XFJ-841,XFJ-841,True,7
QYI-279.jpg,QYI-279,QYI-279,True,7
VGW-442.jpg,VGW-442,VGW442,False,4
LAR-362.jpg,LAR-362,LAR-362,True,7
VER-718.jpg,VER-718,VER-718,True,7
UHH-837.jpg,UHH-837,UHH-837,True,7
MTA-432.jpg,MTA-432,MTA-432,True,7
XHH-288.jpg,XHH-288,XHH-288,True,7
RVS-010.jpg,RVS-010,RVS-010,True,7
QOH-090.jpg,QOH-090,QOH09,False,3
KMO-851.jpg,KMO-851,KMO-851,True,7
LGV-542.jpg,LGV-542,LGV-542,True,7
EQP-129.jpg,EQP-129,EQP129,False,3
PPY-980.jpg,PPY-980,PPY980,False,3
WZB-901.jpg,WZB-901,WZB-901,True,7
LHO-820.jpg,LHO-820,LHO-820,True,7
WVQ-214.jpg,WVQ-214,WVQ-214,True,7
FPF-198.jpg,FPF-198,FPF198,False,3
ZBK-904.jpg,ZBK-904,ZBK-904,True,7
DUI-958.jpg,DUI-958,DUI-958,True,7
GVP-518.jpg,GVP-518,GVP518,False,3
EMD-127.jpg,EMD-127,EMD-127,True,7
SVS-442.jpg,SVS-442,SVS-442,True,7
LEC-124.jpg,LEC-124,LEC-124,True,7
RKZ-459.jpg,RKZ-459,RKZT459,False,6
IFQ-122.jpg,IFQ-122,IFQ-122,True,7
TEQ-401.jpg,TEQ-401,TEQ-401,True,7
YPD-949.jpg,YPD-949,YPD-949,True,7
ZHS-310.jpg,ZHS-310,ZHS-31,False,6
PGS-053.jpg,PGS-053,PGS-053,True,7
VCM-005.jpg,VCM-005,VCM-005,True,7
FPJ-211.jpg,FPJ-211,FPJ-211,True,7
VLS-820.jpg,VLS-820,VLS-820,True,7
VYS-402.jpg,VYS-402,VYS-402,True,7
OVA-737.jpg,OVA-737,OVA-737,True,7
IVI-982.jpg,IVI-982,IVI-982,True,7
OLU-273.jpg,OLU-273,OLU-273,True,7
AOM-982.jpg,AOM-982,AOM-982,True,7
THH-179.jpg,THH-179,THH-179,True,7
VMO-163.jpg,VMO-163,VMO-163,True,7
ZVS-650.jpg,ZVS-650,ZVS-650,True,7
TCF-275.jpg,TCF-275,TCF275,False,3
HFL-145.jpg,HFL-145,HFL-145,True,7
TNW-291.jpg,TNW-291,TNW-291,True,7
GUS-047.jpg,GUS-047,GUS-04,False,6
ZEE-077.jpg,ZEE-077,ZEE077,False,4
PPK-341.jpg,PPK-341,PPK-341,True,7
JZB-357.jpg,JZB-357,JZB-357,True,7
ZII-203.jpg,ZII-203,ZML-203,False,5
RQJ-557.jpg,RQJ-557,RQJ-557,True,7
MPH-401.jpg,MPH-401,MPH-401,True,7
XFG-265.jpg,XFG-265,XFG-265,True,7
KBQ-725.jpg,KBQ-725,KBQ-725,True,7
QOY-792.jpg,QOY-792,Q0Y-792,False,6
IZQ-374.jpg,IZQ-374,IZQ-374,True,7
MVR-471.jpg,MVR-471,MVR-471,True,7
BNA-231.jpg,BNA-231,BNA-231,True,7
CEK-522.jpg,CEK-522,CEK-522,True,7
UJN-437.jpg,UJN-437,UJN-437,True,7
DJW-211.jpg,DJW-211,DJW-211,True,7
SDF-659.jpg,SDF-659,SDF-659,True,7
FDJ-327.jpg,FDJ-327,FDJ327,False,3
LXD-922.jpg,LXD-922,LXD-922,True,7
LFP-934.jpg,LFP-934,LFP934,False,3
GEZ-389.jpg,GEZ-389,GEZ389,False,3
AHF-102.jpg,AHF-102,AHF-102,True,7
EGP-322.jpg,EGP-322,EGP322,False,4
CFU-318.jpg,CFU-318,CFU318,False,3
ULX-444.jpg,ULX-444,ULX-444,True,7
