epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.34,1.53391,4.52671,1.84701,0.18982,0.35436,0.10467,0.05876,1.39416,4.16181,1.95241,8.12454e-05,8.12454e-05,8.12454e-05
2,648.489,1.3053,3.45282,1.58874,0.43395,0.63212,0.54338,0.3092,1.48095,2.83951,2.0156,0.00015936,0.00015936,0.00015936
3,953.253,1.25844,2.74333,1.52319,0.76509,0.81719,0.87324,0.62002,1.07517,1.76971,1.61179,0.000234253,0.000234253,0.000234253
4,1257.88,1.18787,2.28698,1.47078,0.94362,0.94818,0.98196,0.72399,0.97708,1.13849,1.50892,0.000229506,0.000229506,0.000229506
5,1562.42,1.11429,1.94835,1.41839,0.95897,0.95531,0.98321,0.74915,0.91771,0.90865,1.43023,0.000224675,0.000224675,0.000224675
6,1867.08,1.06223,1.75993,1.37713,0.98642,0.98456,0.99392,0.78228,0.82876,0.73663,1.34987,0.000219844,0.000219844,0.000219844
7,2171.53,1.01016,1.60518,1.34244,0.98697,0.98628,0.99425,0.78034,0.83826,0.67123,1.35248,0.000215013,0.000215013,0.000215013
8,2475.98,0.98256,1.51156,1.32556,0.99312,0.99655,0.99479,0.80147,0.76511,0.58657,1.27563,0.000210182,0.000210182,0.000210182
9,2780.35,0.94987,1.43372,1.29689,0.99548,0.99734,0.99495,0.82007,0.69366,0.52553,1.21725,0.00020535,0.00020535,0.00020535
10,3084.67,0.9261,1.37219,1.28505,0.99367,0.99522,0.99451,0.8299,0.66971,0.51371,1.20466,0.000200519,0.000200519,0.000200519
11,3388.81,0.90392,1.32774,1.26364,0.99472,0.99778,0.99413,0.84764,0.62066,0.45416,1.14516,0.000195688,0.000195688,0.000195688
12,3693.04,0.88222,1.28176,1.25248,0.99574,0.99768,0.99478,0.84884,0.61201,0.45028,1.14342,0.000190857,0.000190857,0.000190857
13,3997.2,0.86612,1.24664,1.2414,0.99273,0.99863,0.99403,0.84347,0.62594,0.41544,1.14676,0.000186026,0.000186026,0.000186026
14,4301.33,0.85343,1.21537,1.2335,0.99784,0.99773,0.99468,0.86165,0.56506,0.39415,1.09549,0.000181194,0.000181194,0.000181194
15,4605.39,0.83435,1.20155,1.22069,0.99765,0.99884,0.99484,0.8602,0.57789,0.37296,1.11055,0.000176363,0.000176363,0.000176363
16,4909.54,0.8239,1.16963,1.21118,0.99734,0.99776,0.99475,0.86996,0.53794,0.35785,1.06516,0.000171532,0.000171532,0.000171532
17,5213.55,0.80461,1.14404,1.20771,0.9965,0.99871,0.99486,0.87879,0.5122,0.34032,1.05492,0.000166701,0.000166701,0.000166701
18,5517.66,0.79207,1.13068,1.19401,0.99667,0.99832,0.99446,0.88998,0.48235,0.31787,1.02714,0.00016187,0.00016187,0.00016187
19,5821.67,0.79222,1.12597,1.19615,0.99609,0.99892,0.99439,0.8889,0.49017,0.31372,1.02605,0.000157038,0.000157038,0.000157038
